Skullduggery,Helen Harper,Length: 7 hrs and 40 mins
City of the Damned,David Guymer,Length: 12 hrs and 56 mins
Mean Ghosts,Danielle Garrett,Length: 5 hrs and 47 mins
Throne World,B.V. Larson,Length: 12 hrs and 29 mins
Sylver Seeker 4,Kennit Kenway,Length: 20 hrs and 50 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
"Overlord, Vol. 14","Kugane Maruyama,so-bin - illustrator,Andrew Cunningham - translator",Length: 10 hrs
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 36 mins
The Lady's Last Mistake,Cara Devlin,Length: 11 hrs and 48 mins
The Adversary,"Torsten Weitze,Tim Casey - translator",Length: 22 hrs and 44 mins
The Next Mrs. Parrish,Liv Constantine,Length: 10 hrs and 51 mins
Will Leave the Galaxy for Good,Yahtzee Croshaw,Length: 9 hrs and 50 mins
The Legend of Randidly Ghosthound 8,"Noret Flood,puddles4263",Length: 29 hrs and 7 mins
Bonded in Death,J. D. Robb,Length: 10 hrs and 30 mins
Stories Are Weapons,Annalee Newitz,Length: 7 hrs and 2 mins
Onyx Storm,Rebecca Yarros,Length: 14 hrs and 15 mins
Skeleton Crew,Jordan Castillo Price,Length: 8 hrs and 48 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
LastRock,Phil Tucker,Length: 26 hrs and 2 mins
Emperor's End,Kyle Kirrin,Length: 16 hrs and 18 mins
You Can Negotiate Anything,Herb Cohen,Length: 7 hrs and 5 mins
Imminent,Luis Elizondo,Length: 12 hrs
Enemy A(n)t the Gates,RinoZ,Length: 20 hrs and 49 mins
Storm of Secrets and Sorrow,Melissa Roehrich,Length: 23 hrs and 41 mins
Ascendant King,Kai Butler,Length: 13 hrs and 21 mins
The Midnight Feast,Lucy Foley,Length: 10 hrs and 20 mins
